Date,Close/Last,Volume,Open,High,Low
6/13/24,$653.26 ,1863587,$644.00 ,$655.25 ,$642.35 
6/12/24,$650.06 ,2094381,$652.21 ,$655.78 ,$643.11 
6/11/24,$648.55 ,2167417,$640.72 ,$650.19 ,$640.52 
6/10/24,$644.50 ,2066759,$641.01 ,$644.79 ,$635.59 
6/7/24,$641.47 ,1876631,$649.38 ,$650.40 ,$640.24 
6/6/24,$648.52 ,2466664,$644.89 ,$657.99 ,$644.24 
6/5/24,$650.27 ,2682614,$634.02 ,$651.25 ,$628.25 
6/4/24,$631.62 ,3008151,$633.78 ,$635.23 ,$626.44 
6/3/24,$633.79 ,2323506,$645.22 ,$646.78 ,$627.27 
5/31/24,$641.62 ,4071023,$644.01 ,$648.58 ,$628.30 
5/30/24,$647.66 ,2393354,$653.52 ,$656.49 ,$644.73 
5/29/24,$654.62 ,3695935,$644.13 ,$664.25 ,$643.89 
5/28/24,$649.00 ,2609451,$647.05 ,$649.75 ,$643.03 
5/24/24,$646.75 ,2615260,$639.40 ,$652.00 ,$637.60 
5/23/24,$635.67 ,2313939,$642.34 ,$642.71 ,$630.00 
5/22/24,$640.47 ,2176174,$647.14 ,$649.25 ,$638.12 
5/21/24,$650.61 ,2920155,$636.76 ,$650.88 ,$634.22 
5/20/24,$640.82 ,3857853,$620.40 ,$644.37 ,$619.52 
5/17/24,$621.10 ,3782708,$617.00 ,$625.79 ,$614.71 
5/16/24,$610.52 ,3056350,$615.75 ,$618.34 ,$609.09 
5/15/24,$613.52 ,5670607,$618.57 ,$624.10 ,$609.10 
5/14/24,$613.66 ,2792358,$615.17 ,$621.48 ,$608.40 
5/13/24,$616.59 ,2086197,$614.30 ,$618.22 ,$606.83 
5/10/24,$610.87 ,2653586,$619.00 ,$623.98 ,$605.06 
5/9/24,$612.09 ,2065375,$614.40 ,$615.72 ,$605.75 
5/8/24,$609.47 ,3093904,$601.63 ,$618.22 ,$601.63 
5/7/24,$606.00 ,3614092,$596.28 ,$606.05 ,$591.32 
5/6/24,$596.97 ,3686337,$581.82 ,$597.34 ,$580.25 
5/3/24,$579.34 ,3307524,$566.00 ,$580.26 ,$565.16 
5/2/24,$565.15 ,3068228,$556.02 ,$565.46 ,$555.59 
5/1/24,$551.71 ,3473233,$547.84 ,$560.39 ,$544.25 
4/30/24,$550.64 ,3361492,$560.00 ,$560.00 ,$549.38 
4/29/24,$559.49 ,2508882,$559.18 ,$559.64 ,$554.24 
4/26/24,$561.23 ,4332593,$558.21 ,$562.92 ,$553.19 
4/25/24,$564.80 ,3807101,$549.46 ,$566.54 ,$545.71 
4/24/24,$555.12 ,5355312,$574.31 ,$576.91 ,$551.30 
4/23/24,$577.75 ,4975520,$556.49 ,$579.21 ,$555.28 
4/22/24,$554.60 ,8597651,$550.66 ,$558.61 ,$542.01 
4/19/24,$555.04 ,16449700,$567.88 ,$579.00 ,$552.16 
4/18/24,$610.56 ,8468407,$612.10 ,$621.33 ,$605.44 
4/17/24,$613.69 ,3312222,$620.97 ,$620.97 ,$607.71 
4/16/24,$617.52 ,3519122,$607.50 ,$622.45 ,$607.50 
4/15/24,$607.15 ,3085394,$630.17 ,$630.17 ,$603.87 
4/12/24,$622.83 ,2959269,$628.23 ,$633.12 ,$618.92 
4/11/24,$628.78 ,2662662,$624.42 ,$631.66 ,$617.24 
4/10/24,$618.58 ,2806248,$610.97 ,$620.14 ,$609.34 
4/9/24,$618.20 ,2146635,$631.99 ,$631.99 ,$615.63 
4/8/24,$628.41 ,2145731,$636.39 ,$639.00 ,$628.11 
4/5/24,$636.18 ,3378842,$624.92 ,$637.91 ,$622.71 
4/4/24,$617.14 ,3064349,$633.21 ,$638.00 ,$616.58 
4/3/24,$630.08 ,2931231,$612.75 ,$630.41 ,$611.50 
4/2/24,$614.21 ,2029217,$611.00 ,$615.03 ,$605.51 
4/1/24,$614.31 ,2115925,$608.00 ,$615.11 ,$605.57 
3/28/24,$607.33 ,3708803,$614.99 ,$615.00 ,$601.59 
3/27/24,$613.53 ,2628267,$629.01 ,$631.35 ,$610.73 
3/26/24,$629.24 ,2804453,$625.20 ,$634.39 ,$619.18 
3/25/24,$627.46 ,1803264,$627.90 ,$630.46 ,$623.16 
3/22/24,$628.01 ,2135688,$624.16 ,$629.05 ,$621.00 
3/21/24,$622.71 ,2507671,$630.65 ,$634.36 ,$622.33 
3/20/24,$627.69 ,2639509,$619.95 ,$629.51 ,$618.34 
3/19/24,$620.74 ,2142613,$615.62 ,$621.28 ,$608.00 
3/18/24,$618.39 ,3344244,$613.56 ,$627.41 ,$610.45 
3/15/24,$605.88 ,6671629,$622.92 ,$622.92 ,$603.82 
3/14/24,$613.01 ,3120452,$615.00 ,$620.80 ,$607.35 
3/13/24,$609.45 ,2192094,$613.37 ,$614.85 ,$607.21 
3/12/24,$611.08 ,2821631,$600.21 ,$615.30 ,$596.27 
3/11/24,$600.93 ,2500940,$608.08 ,$611.00 ,$600.37 
3/8/24,$604.82 ,2777243,$608.27 ,$616.09 ,$600.84 
3/7/24,$608.51 ,2742805,$599.34 ,$610.53 ,$595.90 
3/6/24,$597.69 ,2469592,$602.99 ,$607.93 ,$593.56 
3/5/24,$598.50 ,3849563,$610.10 ,$610.91 ,$592.00 
3/4/24,$615.83 ,3020306,$621.56 ,$624.42 ,$615.08 
3/1/24,$619.34 ,4270305,$599.81 ,$620.28 ,$599.50 
2/29/24,$602.92 ,3572082,$604.25 ,$604.52 ,$595.16 
2/28/24,$596.48 ,2605242,$595.79 ,$598.17 ,$590.01 
2/27/24,$601.67 ,4489355,$595.00 ,$605.36 ,$592.33 
2/26/24,$587.65 ,2393712,$583.56 ,$590.75 ,$583.27 
2/23/24,$583.56 ,2568852,$586.40 ,$592.43 ,$579.82 
2/22/24,$588.47 ,3526597,$582.75 ,$590.85 ,$578.89 
2/21/24,$573.35 ,2281143,$573.51 ,$575.78 ,$567.32 
2/20/24,$575.13 ,3124236,$580.18 ,$586.00 ,$569.66 
2/16/24,$583.95 ,4325689,$596.95 ,$597.00 ,$577.46 
2/15/24,$593.46 ,5220938,$581.91 ,$593.77 ,$580.32 
2/14/24,$579.33 ,5634226,$567.26 ,$581.25 ,$564.34 
2/13/24,$554.52 ,3511453,$550.80 ,$559.20 ,$549.00 
2/12/24,$557.85 ,3608487,$560.36 ,$568.44 ,$557.00 
2/9/24,$561.32 ,3055698,$565.00 ,$566.00 ,$558.10 
2/8/24,$558.53 ,3175468,$560.55 ,$563.70 ,$555.74 
2/7/24,$559.30 ,4373591,$558.16 ,$567.80 ,$554.98 
2/6/24,$555.88 ,2840300,$564.12 ,$566.34 ,$554.37 
2/5/24,$562.06 ,4143099,$562.47 ,$575.75 ,$557.20 
2/2/24,$564.64 ,4032843,$564.52 ,$567.80 ,$562.37 
2/1/24,$567.51 ,3174002,$567.02 ,$572.66 ,$563.83 
1/31/24,$564.11 ,4857599,$562.85 ,$572.15 ,$562.05 
1/30/24,$562.85 ,6181798,$567.32 ,$570.88 ,$560.82 
1/29/24,$575.79 ,6905390,$571.35 ,$578.55 ,$562.68 
1/26/24,$570.42 ,12770570,$561.81 ,$579.64 ,$558.43 
1/25/24,$562.00 ,9451915,$551.95 ,$563.46 ,$548.46 
1/24/24,$544.87 ,26432800,$537.75 ,$562.50 ,$537.07 
1/23/24,$492.19 ,15506020,$492.00 ,$498.96 ,$481.40 
1/22/24,$485.71 ,5212309,$487.55 ,$489.80 ,$479.90 
1/19/24,$482.95 ,5672351,$484.98 ,$485.67 ,$476.06 
1/18/24,$485.31 ,4054399,$480.03 ,$485.77 ,$478.02 
1/17/24,$480.33 ,4894593,$484.50 ,$486.21 ,$475.26 
1/16/24,$481.24 ,4678974,$490.00 ,$494.15 ,$478.02 
1/12/24,$492.16 ,5003718,$500.51 ,$500.79 ,$490.61 
1/11/24,$492.23 ,7993265,$492.54 ,$503.41 ,$483.82 
1/10/24,$478.33 ,4342448,$481.60 ,$487.00 ,$472.95 
1/9/24,$482.09 ,3526757,$475.53 ,$485.09 ,$473.80 
1/8/24,$485.03 ,3675775,$473.89 ,$485.24 ,$473.65 
1/5/24,$474.06 ,2631250,$476.50 ,$479.55 ,$471.80 
1/4/24,$474.67 ,3636513,$472.98 ,$480.74 ,$466.53 
1/3/24,$470.26 ,3443694,$467.32 ,$475.05 ,$465.77 
1/2/24,$468.50 ,5049423,$483.19 ,$484.65 ,$461.86 
12/29/23,$486.88 ,2740555,$490.37 ,$492.23 ,$481.94 
12/28/23,$490.51 ,1710492,$492.00 ,$492.89 ,$489.07 
12/27/23,$491.79 ,2561330,$491.24 ,$494.02 ,$489.25 
12/26/23,$491.19 ,2034517,$489.39 ,$491.48 ,$486.38 
12/22/23,$486.76 ,2702672,$494.00 ,$496.02 ,$485.45 
12/21/23,$491.61 ,2756225,$492.66 ,$494.40 ,$486.77 
12/20/23,$489.27 ,4563690,$492.00 ,$500.89 ,$488.39 
12/19/23,$495.02 ,3849014,$488.40 ,$496.14 ,$484.06 
12/18/23,$486.12 ,6410660,$476.30 ,$492.04 ,$475.10 
12/15/23,$472.06 ,7840992,$467.30 ,$473.00 ,$467.30 
12/14/23,$469.83 ,5176437,$480.36 ,$480.76 ,$464.76 
12/13/23,$479.98 ,5820192,$461.98 ,$481.25 ,$461.98 
12/12/23,$463.00 ,3302660,$465.23 ,$465.61 ,$459.20 
12/11/23,$459.89 ,4929662,$459.36 ,$470.65 ,$457.21 
12/8/23,$453.76 ,3458384,$450.76 ,$455.50 ,$450.76 
12/7/23,$452.00 ,3506722,$450.85 ,$452.89 ,$448.32 
12/6/23,$446.73 ,4178755,$460.00 ,$460.50 ,$445.73 
12/5/23,$455.15 ,3380674,$450.70 ,$456.39 ,$449.58 
12/4/23,$453.90 ,5157713,$460.99 ,$461.20 ,$451.20 
12/1/23,$465.74 ,4341471,$473.17 ,$475.23 ,$464.60 
11/30/23,$473.97 ,4287349,$475.31 ,$478.59 ,$470.42 
11/29/23,$477.19 ,2855540,$479.00 ,$480.99 ,$474.49 
11/28/23,$479.00 ,2890164,$478.11 ,$480.50 ,$475.95 
11/27/23,$479.17 ,3625924,$479.03 ,$482.00 ,$475.35 
11/24/23,$479.56 ,1404732,$477.11 ,$480.40 ,$475.20 
11/22/23,$478.00 ,2843891,$476.80 ,$482.70 ,$476.56 
11/21/23,$474.95 ,2997723,$472.63 ,$477.02 ,$471.21 
11/20/23,$474.47 ,3621095,$465.40 ,$476.76 ,$465.40 
11/17/23,$465.91 ,2800214,$466.95 ,$467.65 ,$462.76 
11/16/23,$466.95 ,3655974,$463.00 ,$467.28 ,$459.65 
11/15/23,$461.94 ,5035283,$452.81 ,$462.75 ,$452.45 
11/14/23,$448.65 ,4060884,$448.78 ,$454.08 ,$445.64 
